Product Name,Operating System,Softwares,Display,Sound,Refresh Rate,Ports,Price,Rating
Mi 4X 125.7 cm (50 inch) Ultra HD (4K) LED Smart Android TV,Operating System: Android,Netflix|Disney+Hotstar|Youtube,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,38999.0,4.3
OnePlus Y Series 80 cm (32 inch) HD Ready LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,18999.0,4.3
Mi 4X 138.8 cm (55 inch) Ultra HD (4K) LED Smart TV,Operating System: Android Based,Netflix|Prime Video|Disney+Hotstar|Youtube,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,44999.0,4.3
realme 80 cm (32 inch) HD Ready LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,24 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,16999.0,4.3
Mi 4A Pro 108 cm (43 inch) Full HD LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 3 x USB,26999.0,4.4
TCL P715 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Full Screen & Handsfree Voice Contro...,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,34999.0,4.3
SAMSUNG 80 cm (32 inch) HD Ready LED Smart TV,Operating System: Tizen,Netflix|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 1 x USB,18290.0,4.3
iFFALCON by TCL 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,Operating System: Android,Netflix|Disney+Hotstar|Youtube,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 1 x USB,35999.0,4.3
LG 108 cm (43 inch) Full HD LED Smart TV,Operating System: WebOS,Netflix|Prime Video|Disney+Hotstar|Youtube,Full HD 1920 x 1080 Pixels,20 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 1 x USB,33990.0,4.4
SAMSUNG 108 cm (43 inch) Full HD LED Smart TV,Operating System: Tizen,Netflix|Disney+Hotstar|Youtube,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 1 x USB,32990.0,4.4
TOSHIBA L50 Series 108 cm (43 inch) Full HD LED Smart TV with ADS Panel,Operating System: VIDAA,Netflix|Prime Video|Youtube,Full HD 1920 x 1080 Pixels,24 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,24990.0,4.3
Mi 5X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,31999.0,3.9
Mi 4C 80 cm (32 inch) HD Ready LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,16999.0,4.1
OnePlus Y Series 108 cm (43 inch) Full HD LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,29499.0,4.3
KODAK 7XPRO Series 80 cm (32 inch) HD Ready LED Smart Android TV,Operating System: Android,Prime Video|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,24 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,13990.0,4.4
Vu Premium 108 cm (43 inch) Full HD LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Full HD 1920 x 1080 Pixels,24 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,26999.0,4.3
SAMSUNG Crystal 4K 108 cm (43 inch) Ultra HD (4K) LED Smart TV,Operating System: Tizen,Netflix|Disney+Hotstar|Youtube,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 1 x USB,38990.0,4.3
iFFALCON by TCL 79.97 cm (32 inch) HD Ready LED Smart Android TV with Google assistant tv HDR 10 and D...,Operating System: Android,Netflix|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,16 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 1 x USB,14999.0,4.2
Mi 4A PRO 80 cm (32 inch) HD Ready LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,16999.0,4.4
Mi 4X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,29999.0,4.3
LG 80 cm (32 inch) HD Ready LED Smart TV,Operating System: WebOS,Netflix|Prime Video|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,10 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 1 x USB,17999.0,4.4
Mi 4A Horizon Edition 100 cm (40 inch) Full HD LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,24999.0,4.3
Mi 4A Horizon Edition 80 cm (32 inch) HD Ready LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,17499.0,4.3
Mi 4A 100 cm (40 inch) Full HD LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,23999.0,4.4
Mi 4X 138.8 cm (55 inch) Ultra HD (4K) LED Smart TV,Operating System: Android Based,Netflix|Prime Video|Disney+Hotstar|Youtube,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,44999.0,4.3
OnePlus Y Series 80 cm (32 inch) HD Ready LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,18999.0,4.3
Mi 4X 125.7 cm (50 inch) Ultra HD (4K) LED Smart Android TV,Operating System: Android,Netflix|Disney+Hotstar|Youtube,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,38999.0,4.3
TCL P715 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Full Screen & Handsfree Voice Contro...,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,34999.0,4.3
realme 80 cm (32 inch) HD Ready LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,24 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,16999.0,4.3
Mi 4A Pro 108 cm (43 inch) Full HD LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 3 x USB,26999.0,4.4
SAMSUNG 80 cm (32 inch) HD Ready LED Smart TV,Operating System: Tizen,Netflix|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 1 x USB,18290.0,4.3
LG 108 cm (43 inch) Full HD LED Smart TV,Operating System: WebOS,Netflix|Prime Video|Disney+Hotstar|Youtube,Full HD 1920 x 1080 Pixels,20 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 1 x USB,33990.0,4.4
SAMSUNG 108 cm (43 inch) Full HD LED Smart TV,Operating System: Tizen,Netflix|Disney+Hotstar|Youtube,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 1 x USB,32990.0,4.4
iFFALCON by TCL 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,Operating System: Android,Netflix|Disney+Hotstar|Youtube,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 1 x USB,35999.0,4.3
TOSHIBA L50 Series 108 cm (43 inch) Full HD LED Smart TV with ADS Panel,Operating System: VIDAA,Netflix|Prime Video|Youtube,Full HD 1920 x 1080 Pixels,24 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,24990.0,4.3
Mi 5X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,31999.0,3.9
OnePlus Y Series 108 cm (43 inch) Full HD LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,29499.0,4.3
Mi 4C 80 cm (32 inch) HD Ready LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,16999.0,4.1
KODAK 7XPRO Series 80 cm (32 inch) HD Ready LED Smart Android TV,Operating System: Android,Prime Video|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,24 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,13990.0,4.4
Vu Premium 108 cm (43 inch) Full HD LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Full HD 1920 x 1080 Pixels,24 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,26999.0,4.3
SAMSUNG Crystal 4K 108 cm (43 inch) Ultra HD (4K) LED Smart TV,Operating System: Tizen,Netflix|Disney+Hotstar|Youtube,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 1 x USB,38990.0,4.3
iFFALCON by TCL 79.97 cm (32 inch) HD Ready LED Smart Android TV with Google assistant tv HDR 10 and D...,Operating System: Android,Netflix|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,16 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 1 x USB,14999.0,4.2
Mi 4A PRO 80 cm (32 inch) HD Ready LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,16999.0,4.4
Mi 4X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,29999.0,4.3
LG 80 cm (32 inch) HD Ready LED Smart TV,Operating System: WebOS,Netflix|Prime Video|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,10 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 1 x USB,17999.0,4.4
Mi 4A Horizon Edition 100 cm (40 inch) Full HD LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,24999.0,4.3
Mi 4A Horizon Edition 80 cm (32 inch) HD Ready LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,17499.0,4.3
Mi 4X 138.8 cm (55 inch) Ultra HD (4K) LED Smart TV,Operating System: Android Based,Netflix|Prime Video|Disney+Hotstar|Youtube,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,44999.0,4.3
Mi 4A 100 cm (40 inch) Full HD LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,23999.0,4.4
Mi 4X 125.7 cm (50 inch) Ultra HD (4K) LED Smart Android TV,Operating System: Android,Netflix|Disney+Hotstar|Youtube,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,38999.0,4.3
SAMSUNG 80 cm (32 inch) HD Ready LED Smart TV,Operating System: Tizen,Netflix|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 1 x USB,18290.0,4.3
realme 80 cm (32 inch) HD Ready LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,24 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,16999.0,4.3
OnePlus Y Series 80 cm (32 inch) HD Ready LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,18999.0,4.3
Mi 4A Pro 108 cm (43 inch) Full HD LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 3 x USB,26999.0,4.4
TOSHIBA L50 Series 108 cm (43 inch) Full HD LED Smart TV with ADS Panel,Operating System: VIDAA,Netflix|Prime Video|Youtube,Full HD 1920 x 1080 Pixels,24 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,24990.0,4.3
LG 108 cm (43 inch) Full HD LED Smart TV,Operating System: WebOS,Netflix|Prime Video|Disney+Hotstar|Youtube,Full HD 1920 x 1080 Pixels,20 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 1 x USB,33990.0,4.4
iFFALCON by TCL 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,Operating System: Android,Netflix|Disney+Hotstar|Youtube,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 1 x USB,35999.0,4.3
Mi 4C 80 cm (32 inch) HD Ready LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,16999.0,4.1
TCL P715 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Full Screen & Handsfree Voice Contro...,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,34999.0,4.3
SAMSUNG 108 cm (43 inch) Full HD LED Smart TV,Operating System: Tizen,Netflix|Disney+Hotstar|Youtube,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 1 x USB,32990.0,4.4
LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,Operating System: WebOS,Netflix|Prime Video|Disney+Hotstar|Youtube,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 1 x USB,38990.0,4.3
iFFALCON by TCL 79.97 cm (32 inch) HD Ready LED Smart Android TV with Google assistant tv HDR 10 and D...,Operating System: Android,Netflix|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,16 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 1 x USB,14999.0,4.2
OnePlus Y Series 108 cm (43 inch) Full HD LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,29499.0,4.3
Mi 4A Horizon Edition 108 cm (43 inch) Full HD LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,27999.0,4.3
KODAK 7XPRO Series 80 cm (32 inch) HD Ready LED Smart Android TV,Operating System: Android,Prime Video|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,24 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,13990.0,4.4
Mi Q1 138.8 cm (55 inch) QLED Ultra HD (4K) Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,59999.0,4.4
Mi 4A PRO 80 cm (32 inch) HD Ready LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,16999.0,4.4
Mi 4X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,29999.0,4.3
Mi 4A Horizon Edition 100 cm (40 inch) Full HD LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,24999.0,4.3
LG 80 cm (32 inch) HD Ready LED Smart TV,Operating System: WebOS,Netflix|Prime Video|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,10 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 1 x USB,17999.0,4.4
Mi 4A Horizon Edition 80 cm (32 inch) HD Ready LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,17499.0,4.3
Mi 4A 100 cm (40 inch) Full HD LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,23999.0,4.4
Mi 4X 125.7 cm (50 inch) Ultra HD (4K) LED Smart Android TV,Operating System: Android,Netflix|Disney+Hotstar|Youtube,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,38999.0,4.3
Mi 4X 138.8 cm (55 inch) Ultra HD (4K) LED Smart TV,Operating System: Android Based,Netflix|Prime Video|Disney+Hotstar|Youtube,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,44999.0,4.3
OnePlus Y Series 80 cm (32 inch) HD Ready LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,18999.0,4.3
realme 80 cm (32 inch) HD Ready LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,24 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,16999.0,4.3
Mi 4A Pro 108 cm (43 inch) Full HD LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 3 x USB,26999.0,4.4
SAMSUNG 80 cm (32 inch) HD Ready LED Smart TV,Operating System: Tizen,Netflix|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 1 x USB,18290.0,4.3
TCL P715 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Full Screen & Handsfree Voice Contro...,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,34999.0,4.3
iFFALCON by TCL 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,Operating System: Android,Netflix|Disney+Hotstar|Youtube,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 1 x USB,35999.0,4.3
LG 108 cm (43 inch) Full HD LED Smart TV,Operating System: WebOS,Netflix|Prime Video|Disney+Hotstar|Youtube,Full HD 1920 x 1080 Pixels,20 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 1 x USB,33990.0,4.4
SAMSUNG 108 cm (43 inch) Full HD LED Smart TV,Operating System: Tizen,Netflix|Disney+Hotstar|Youtube,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 1 x USB,32990.0,4.4
TOSHIBA L50 Series 108 cm (43 inch) Full HD LED Smart TV with ADS Panel,Operating System: VIDAA,Netflix|Prime Video|Youtube,Full HD 1920 x 1080 Pixels,24 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,24990.0,4.3
Mi 5X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,31999.0,3.9
Mi 4C 80 cm (32 inch) HD Ready LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,16999.0,4.1
OnePlus Y Series 108 cm (43 inch) Full HD LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,29499.0,4.3
KODAK 7XPRO Series 80 cm (32 inch) HD Ready LED Smart Android TV,Operating System: Android,Prime Video|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,24 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,13990.0,4.4
Vu Premium 108 cm (43 inch) Full HD LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Full HD 1920 x 1080 Pixels,24 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,26999.0,4.3
SAMSUNG Crystal 4K 108 cm (43 inch) Ultra HD (4K) LED Smart TV,Operating System: Tizen,Netflix|Disney+Hotstar|Youtube,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 1 x USB,38990.0,4.3
iFFALCON by TCL 79.97 cm (32 inch) HD Ready LED Smart Android TV with Google assistant tv HDR 10 and D...,Operating System: Android,Netflix|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,16 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 1 x USB,14999.0,4.2
Mi 4A PRO 80 cm (32 inch) HD Ready LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,16999.0,4.4
Mi 4X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,29999.0,4.3
LG 80 cm (32 inch) HD Ready LED Smart TV,Operating System: WebOS,Netflix|Prime Video|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,10 W Speaker Output,50 Hz Refresh Rate,2 x HDMI | 1 x USB,17999.0,4.4
Mi 4A Horizon Edition 100 cm (40 inch) Full HD LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,24999.0,4.3
Mi 4A Horizon Edition 80 cm (32 inch) HD Ready LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,17499.0,4.3
Mi 4X 138.8 cm (55 inch) Ultra HD (4K) LED Smart TV,Operating System: Android Based,Netflix|Prime Video|Disney+Hotstar|Youtube,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,44999.0,4.3
Mi 4A 100 cm (40 inch) Full HD LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,23999.0,4.4
Mi 4X 125.7 cm (50 inch) Ultra HD (4K) LED Smart Android TV,Operating System: Android,Netflix|Disney+Hotstar|Youtube,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,38999.0,4.3
realme 80 cm (32 inch) HD Ready LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,24 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 2 x USB,16999.0,4.3
SAMSUNG 80 cm (32 inch) HD Ready LED Smart TV,Operating System: Tizen,Netflix|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 1 x USB,18290.0,4.3
OnePlus Y Series 80 cm (32 inch) HD Ready LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,18999.0,4.3
Mi 4A Pro 108 cm (43 inch) Full HD LED Smart Android TV,Operating System: Android,Netflix|Prime Video|Disney+Hotstar|Youtube,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,3 x HDMI | 3 x USB,26999.0,4.4
